fecha,proyecto,red,id_publicacion
2026-08-15,Historia07,instagram,18066512411734526
2026-08-15,Historia01,threads,17982862833052581
2026-08-16,Historia08,instagram,18122835661808975
2026-08-16,Historia02,instagram_carrusel,17986777698022978
2026-08-17,Historia09,instagram,18460909834139223
2026-08-18,Historia03,instagram_carrusel,17887912464673564
2026-08-19,Historia10,instagram,18349502686169058
2026-08-20,Historia11,instagram,18050939627581257
2026-08-20,Historia04,facebook_album,1012265328646181_122111851071294832
2026-08-22,Historia12,instagram,17966599992138512
2026-08-22,Historia05,threads,18103734469907388
2026-08-24,Historia13,instagram,18024097916886810
2026-08-25,Historia14,instagram,18123943975751774
2026-08-25,Historia06,instagram_carrusel,17907634683525112
2026-08-26,Historia15,instagram,18212871292352906
2026-08-26,Historia15,facebook,122112447615294832
2026-08-27,Historia07,facebook,122112526971294832
2026-08-28,Historia07,facebook_album,1012265328646181_122112626265294832
2026-08-30,Historia16,instagram,18104477863918048
2026-08-30,Historia08,threads,18118223989864542
2026-08-31,Historia17,instagram,17887086387454257
2026-09-01,Historia18,instagram,17859883374692662
2026-09-01,Historia09,instagram_carrusel,17876790534545948
2026-09-02,Historia19,instagram,17953794501080644
2026-09-03,Historia21,instagram,18015268271736216
2026-09-03,Historia10,facebook_album,1012265328646181_122113065399294832
2026-09-04,Historia22,instagram,18113633285088908
2026-09-05,Historia23,instagram,18340237879286431
2026-09-05,Historia11,threads,18108595421582302
2026-09-06,Historia24,instagram,17984744217115450
2026-09-07,Historia25,instagram,18097159421571895
2026-09-10,Historia12,instagram_carrusel,18120179971923380
2026-09-11,Historia13,facebook_album,1012265328646181_122113666131294832
2026-09-12,Historia14,threads,18630981574020745
2026-09-15,Historia15,instagram_carrusel,17866135026662636
