PROYECTO,TEMA
Historia26,Los gatos del Museo Hermitage
Historia27,El Endurance de Shackleton
Historia28,Los manuscritos de Tombuctú
Historia29,La ciudad sumergida de Heracleion
Historia30,Los cajones del Puente de Brooklyn
Historia31,El reloj astronómico de Praga
Historia32,Los code talkers navajos
Historia33,La Estatua de la Libertad en piezas
Historia34,Cómo movieron los moái de Pascua
Historia35,El banco de semillas de Leningrado
Historia36,La tulipomanía holandesa
Historia37,El perro Hachiko
Historia38,La paloma mensajera Cher Ami
Historia39,El palacio ideal del cartero Cheval
Historia40,Mary Anning y los fósiles de Lyme Regis
Historia41,Annie Taylor y el barril del Niágara
Historia42,Philippe Petit entre las Torres Gemelas
Historia43,Las hadas de Cottingley
Historia44,El ascensor de Elisha Otis
Historia45,El elefante Jumbo
